No.,經號,經名,經典類別,經文基本資料_0_經號,經文基本資料_1_作譯者,經文基本資料_2_朝代,經文基本資料_3_部類,經文基本資料_4_經文結構,經文摘要_0,經文摘要_1,經文摘要_2,全文內容_0,全文內容_1,全文內容_2,全文內容_3,全文內容_4
1,T0279,《大方廣佛華嚴經》(80卷本),經典類,1,1,1,1,1,1,1,1,0.67,0.50,0.50,0,1
2,T0475,《維摩詰所說經》,經典類,1,1,1,1,1,1,0,1,1,1,0.50,1,1
3,T0220,《大般若波羅蜜多經》,經典類,1,1,1,1,1,1,1,1,0.67,1,1,1,1
4,T0262,《妙法蓮華經》,經典類,1,1,1,1,1,1,1,1,1,1,1,1,1
5,T0374,《大般涅槃經》,經典類,1,1,1,1,1,1,1,1,1,1,0.20,1,1
6,T2008,《六祖大師法寶壇經》,經典類,1,1,0,1,1,1,1,1,1,1,1,1,1
7,T0099,《雜阿含經》,經典類,1,1,1,1,1,1,1,1,1,1,1,1,0.75
8,T0125,《增壹阿含經》,經典類,1,1,1,1,1,1,1,1,1,1,1,1,1
9,T1509,《大智度論》,論典類,1,1,1,1,1,1,1,1,0.40,0.75,1,1,0.20
10,T1564,《中論》,論典類,1,1,1,1,1,1,1,1,0.50,1,1,1,1
11,T0360,《佛說無量壽經》,經典類,1,1,1,1,1,1,1,1,1,1,1,1,1
12,T0366,《佛說阿彌陀經》,經典類,1,1,1,1,1,1,0,1,1,1,1,1,1
13,T0412,《地藏菩薩本願經》,經典類,1,1,1,0,1,1,1,1,1,1,1,1,1
14,T0450,《藥師琉璃光如來本願功德經》,經典類,1,1,1,1,1,1,1,1,1,1,1,0.83,1
15,T0945,《大佛頂如來密因修證了義諸菩薩萬行首楞嚴經》,經典類,1,1,1,1,1,1,1,1,1,0.03,1,1,1
16,T0251,《般若波羅蜜多心經》,經典類,1,1,1,1,1,1,1,1,0.80,1,1,1,1
17,T0235,《金剛般若波羅蜜經》,經典類,1,1,1,1,1,1,1,1,1,0.15,0.75,1,1
18,T1484,《梵網經菩薩戒本》(《佛說梵網經》下卷),律典類,1,1,1,1,1,1,1,1,1,1,1,1,1
19,T0203,《雜寶藏經》,佛教故事類,1,1,1,1,0.80,1,1,1,1,1,1,0,0.25
20,T0211,《法句譬喻經》,佛教故事類,1,1,1,1,1,1,1,1,1,0,1,1,1
21,T0945,《大佛頂如來密因修證了義諸菩薩萬行首楞嚴經．楞嚴咒》(楞嚴咒),儀軌類,1,1,1,1,1,1,1,1,1,0.90,1,0.14,1
22,T1064,《千手千眼觀世音菩薩大悲心陀羅尼》(大悲咒),儀軌類,1,1,1,1,1,1,1,1,0.83,1,0.50,0.83,0
23,JB044,《諸經日誦集要．蒙山施食》,儀軌類,1,1,1,1,1,1,1,1,1,1,0,1,1
24,T1909,《慈悲道場懺法》(梁皇寶懺),儀軌類,1,1,1,1,1,1,0,1,0.05,1,0.25,0,1
25,T1910,《慈悲三昧水懺》,儀軌類,0,1,1,0,1,1,1,1,1,1,0,0,0.67
26,X1480,《千手眼大悲心咒行法》(大悲懺),儀軌類,1,1,0,0,1,1,1,1,1,0.25,1,1,1
27,T1941,《法華三昧懺儀》,儀軌類,1,1,1,1,1,1,1,1,1,1,0,1,0.75
28,X1244,《百丈清規證義記．蘭盆儀軌摘要》,儀軌類,1,1,1,1,1,1,1,1,0,1,0,0,0.33
29,X1497,《法界聖凡水陸勝會修齋儀軌》(水陸法會),儀軌類,1,1,1,0,1,1,1,1,0,1,0,0,0
30,X1080,《瑜伽集要施食儀軌》(焰口),儀軌類,0,1,1,1,1,1,1,1,0.50,0.03,0,0.25,0
31,T0489,《佛說除蓋障菩薩所問經》,佛典類,1,1,1,1,1,1,1,0,0,1,1,1,0.25
32,T0657,《佛說華手經》,佛典類,1,1,1,0,1,1,1,1,0.50,0.12,0.14,0.67,0.50
33,T1567,《大乘中觀釋論》,論典類,1,1,1,1,1,1,1,1,1,1,0.75,1,1
34,T2011,《最上乘論》,論典類,1,1,1,1,1,1,1,1,1,0.33,0.50,0,1
35,X0276,《楞嚴摸象記》,論典類,1,1,1,1,1,1,1,1,0,1,1,1,1
36,T1670A,《那先比丘經》,經典類,1,0,0,0,1,1,1,1,0,0,0,0,0.25
37,T0305,《信力入印法門經》,經典類,1,1,1,1,1,1,1,1,0,0,0,0,0
38,T0829,《大乘離文字普光明藏經》,經典類,1,1,1,1,1,1,0,1,0.50,0.75,1,1,1
39,T0268,《大廣博嚴淨不退轉法輪經》,經典類,1,1,0.80,1,1,1,1,1,0,0,0.33,0,0.25
40,T0386,《佛說蓮華面經》,經典類,1,1,1,1,0,1,1,1,0.80,1,0,0,0
